          Thick            Thin

Halpha
No broadening
15        -2.66           -2.40                            		
20        -2.49           -2.26
25        -2.62           -2.29
30        -2.66           -2.35
Broadening
15        -2.66           -2.64
20        -2.49           -2.42
25        -2.62           -2.50
30        -2.66           -2.48

O35007
No broadening
15        -3.42           -2.51        
20        -3.26           -2.51
25        -3.34           -2.45
30        -3.43           -2.58
Broadening
15        -3.42           -2.71
20        -3.26           -2.69
25        -3.34           -2.69
30        -3.43           -2.79

N26584
No broadening
15        -2.42           -2.16
20        -2.44           -2.14
25        -2.63           -2.22
30        -2.66           -2.28
Broadening
15        -2.42           -2.30
20        -2.44           -2.29
25        -2.63           -2.38
30        -2.66           -2.45

S26716
No broadening
15        -2.11           -1.90
20        -2.04           -1.75
25        -1.97           -1.76
30        -1.96           -1.73
Broadening
15        -2.11           -1.96
20        -2.04           -1.86
25        -1.97           -1.80
30        -1.96           -1.78


