          Thick            Thin

Halpha
No broadening
15        -2.52           -2.49                    		
20        -2.55           -2.35
25        -2.60           -2.29
30        -2.53           -2.23
Broadening
15        -2.52           -2.63
20        -2.55           -2.51
25        -2.60           -2.45
30        -2.53           -2.39

O35007
No broadening
15        -3.14           -2.73        
20        -3.18           -2.55
25        -3.31           -2.48
30        -3.39           -2.46
Broadening
15        -3.14           -3.01
20        -3.18           -2.76
25        -3.31           -2.69
30        -3.39           -2.68

N26584
No broadening
15        -2.38           -2.05
20        -2.48           -2.17
25        -2.61           -2.22
30        -2.52           -2.17
Broadening
15        -2.38           -2.20
20        -2.48           -2.31
25        -2.61           -2.39
30        -2.52           -2.33

S26716
No broadening
15        -1.96           -1.61
20        -1.82           -1.69
25        -2.19           -1.96
30        -1.92           -1.64
Broadening
15        -1.96           -1.69
20        -1.82           -1.74
25        -2.19           -2.02
30        -1.92           -1.71


