          Thick            Thin

Halpha
No broadening
15        -2.65           -2.54		
20        -2.63           -2.41
25        -2.61           -2.31
30        -2.56           -2.23
Broadening
15        -2.65           -2.67
20        -2.63           -2.58
25        -2.61           -2.48
30        -2.56           -2.37

O35007
No broadening
15        -3.58           -2.90
20        -3.32           -2.62
25        -3.37           -2.57
30        -3.38           -2.46
Broadening
15        -3.58           -3.15
20        -3.32           -2.84
25        -3.37           -2.78
30        -3.38           -2.69

N26584
No broadening
15        -2.41           -2.13
20        -2.61           -2.18
25        -2.42           -2.13
30        -2.58           -2.20
Broadening
15        -2.41           -2.28
20        -2.61           -2.36
25        -2.42           -2.28
30        -2.58           -2.35

S26716
No broadening
15        -2.13           -1.76
20        -2.03           -1.82
25        -1.84           -1.69
30        -1.85           -1.59
Broadening
15        -2.13           -1.87
20        -2.03           -1.89
25        -1.84           -1.76
30        -1.85           -1.66

